geoid,geographic_area_name,total_population,total_population_age_under_5_years,total_population_age_5_to_9_years,total_population_age_10_to_14_years,total_population_age_15_to_19_years,total_population_age_20_to_24_years,total_population_age_25_to_29_years,total_population_age_30_to_34_years,total_population_age_35_to_39_years,total_population_age_40_to_44_years,total_population_age_45_to_49_years,total_population_age_50_to_54_years,total_population_age_55_to_59_years,total_population_age_60_to_64_years,total_population_age_65_to_69_years,total_population_age_70_to_74_years,total_population_age_75_to_79_years,total_population_age_80_to_84_years,total_population_age_85_years_and_over,total_population_summary_indicators_median_age_years,total_population_summary_indicators_sex_ratio_males_per_100_females,median_household_income,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_44999,45000_to_49999,50000_to_59999,60000_to_74999,75000_to_99999,100000_to_124999,125000_to_149999,150000_to_199999,200000_or_more,income_in_the_past_12_months_below_poverty_level,no_schooling_completed,9th_grade,regular_high_school_diploma,ged_or_alternative_credential,some_college_less_than_1_year,some_college_1_or_more_years_no_degree,associates_degree,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,commute_total,car_truck_or_van,public_transport,bus,subway_or_elevated_rail,train_or_commuter_rail,walked,bicycle,motorcycle,other_means,family_households,family_households_other_family,nonfamily_households,hispanic_or_latino,not_hispanic_or_latino,white,black_or_african_american,asian,ZIP,avg_ped,total_vol_7am_8pm,avg_count_7am_8pm,parking_count,target_count,trader_joes_count,whole_foods_count,wegmans_count,aldi_count,station_count
11421,ZCTA5 11421,41937,2150,2209,2458,2629,3039,3077,2807,3134,2795,3179,2802,3289,2744,2311,1626,687,528,473,39.0,101.9,89439,439,206,243,436,210,394,380,409,384,635,892,1999,1363,836,1377,1783,4152,2331,433,7306,1487,1404,2927,2372,5439,1674,444,107,19329,6381,10544,2070,8359,115,823,34,10,57,9595,3441,2391,23464,18473,5631,1638,8516,11421,1417.1666666666667,,,183.0,,,,,,3.0
11422,ZCTA5 11422,33085,1670,1531,1969,1843,2027,2225,2728,2065,1970,2070,2025,2425,2691,2484,1412,855,495,600,41.9,88.0,108519,158,121,200,315,62,179,246,363,426,520,852,1313,1334,1031,1384,1837,2784,647,223,5182,1053,1574,3202,2514,5076,2374,354,202,15996,8864,4810,1851,2140,570,235,0,0,146,7604,3478,2737,3001,30084,1857,25967,655,11422,,,,96.0,,,,,,
11423,ZCTA5 11423,29105,1243,1538,1530,1428,1984,2020,2017,1308,1805,1530,2425,2154,2415,1890,1417,877,790,734,43.9,93.9,80870,606,230,320,177,202,310,538,491,224,807,796,1152,1116,678,985,1192,3006,797,297,4566,942,940,2432,1870,4833,1641,773,92,13643,6037,5895,2337,3382,169,587,15,0,77,7306,2760,2518,4484,24621,2835,9835,8925,11423,,,,152.0,,,,,,
11426,ZCTA5 11426,19638,1311,800,1176,655,1057,1280,1044,1148,1160,1034,1336,1294,1657,1880,1093,852,328,533,46.4,103.9,107591,62,83,31,281,62,121,245,128,98,283,484,1064,583,698,1121,1035,1400,208,10,2637,548,558,1533,1183,3920,1862,465,171,9632,6738,1794,532,1140,122,20,0,0,61,4893,796,1486,3117,16521,4404,1080,9854,11426,,,,109.0,,,,,,
11427,ZCTA5 11427,25124,1231,1046,1349,1248,1225,1845,1573,1379,1251,1272,1353,2338,2319,2172,1769,842,364,548,46.3,94.3,92129,325,356,92,252,231,278,94,310,240,482,629,1071,676,918,893,1274,2846,793,108,3929,728,650,2040,1933,4089,1940,536,221,10980,6364,3241,1251,1809,181,82,9,0,131,6125,1804,1996,4233,20891,3574,5449,9376,11427,,,,81.0,,,,,,
11428,ZCTA5 11428,18898,871,681,843,945,1608,1032,1410,779,888,1330,1631,1237,1442,1441,1152,779,492,337,46.5,101.4,84977,238,162,186,120,69,227,127,138,377,317,615,745,685,537,729,750,1690,682,262,3612,485,767,1448,1128,2542,1115,158,49,9113,4989,2771,1092,1623,48,219,14,0,105,4815,1107,1207,5287,13611,1508,3102,6139,11428,,,,114.0,,,,,,
11429,ZCTA5 11429,27933,1021,1303,1693,1519,2286,2005,1664,1849,1329,1872,1879,2232,1980,1804,929,729,876,963,42.3,87.7,98232,273,578,103,59,423,164,243,228,200,461,356,1075,722,821,1031,1490,2384,647,203,4281,1779,753,3070,1705,3402,1690,175,116,13221,6668,4233,1942,2026,265,378,18,0,119,6557,3072,1670,4237,23696,850,18100,1861,11429,,,,146.0,,,,,,
11430,ZCTA5 11430,448,0,18,69,0,27,171,0,28,57,51,0,9,9,9,0,0,0,0,28.7,100.0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,151,18,28,33,19,18,0,0,0,73,0,73,0,73,0,0,0,0,0,0,0,0,264,184,43,113,9,11430,,,,,,,,,,
11432,ZCTA5 11432,63730,4050,3840,3517,3511,4778,4651,3988,3827,4001,3605,4301,3968,4430,4458,2859,1496,1076,1374,39.6,98.6,75395,1113,770,541,809,571,931,729,630,519,1779,1762,2684,2065,1632,1920,1949,9439,1511,786,6959,2528,1468,4920,3571,10012,4213,942,566,27301,9267,12731,3682,8846,190,1822,126,20,272,14990,4495,5414,13365,50365,7527,11095,26907,11432,2243.4444444444443,,,452.0,,,,,,3.0
11433,ZCTA5 11433,37777,2615,2263,2997,2794,2459,2618,3087,2205,2474,2273,2130,2744,1946,1716,1165,961,631,699,35.1,88.2,71177,681,747,540,209,380,347,222,521,354,684,922,1473,1021,552,1241,1071,4636,1036,264,4624,2914,908,3938,1973,3336,1181,114,88,15394,7017,6630,2249,4157,224,290,0,0,146,8550,3716,2415,4939,32838,718,20631,6546,11433,130.0,,,212.0,0.0,0.0,0.0,0.0,1.0,1.0
11434,ZCTA5 11434,67611,3926,4072,4214,4087,3904,4872,4286,4370,4505,3815,5225,4888,4746,3557,2595,1710,1228,1611,40.1,81.6,76668,1698,672,475,290,796,1131,891,836,555,1459,2248,2693,2513,1648,2347,2485,7833,773,598,12021,3083,2581,8866,4095,6854,2947,378,334,30246,14859,12190,5578,6219,327,373,175,32,342,15830,8304,6907,8096,59515,1265,51683,2388,11434,,,,248.0,,,,,,1.0
11435,ZCTA5 11435,58424,4411,2998,3225,3284,3431,5205,5074,4062,3310,3910,3824,3938,3533,2907,1803,1579,1040,890,36.6,102.1,79430,914,1003,423,457,761,901,508,726,335,1439,1913,2791,2412,1449,1775,2121,8268,1849,712,4958,4426,1692,5110,3172,8069,3280,1171,786,27279,8817,13433,3700,9447,286,1699,84,0,197,13154,4789,6774,17441,40983,7534,14332,13162,11435,1862.75,,,325.0,,,,,,2.0
11436,ZCTA5 11436,21364,884,1134,1427,1479,1641,1811,1457,1019,1671,1228,1681,1632,1318,855,1041,510,256,320,38.9,90.1,86104,377,145,201,93,258,192,249,165,192,381,484,928,634,567,623,800,2612,537,232,3876,1464,469,2191,1209,2227,896,108,59,10036,5689,3416,1318,2021,64,236,0,23,42,5031,2347,1258,2654,18710,284,12509,1406,11436,,,,86.0,,,,,,
11691,ZCTA5 11691,68704,5710,5001,6026,4558,3901,4818,3652,4203,3225,3765,4080,4046,4686,3828,2241,2235,1317,1412,36.0,91.0,57027,2397,1965,1001,722,997,894,578,674,775,1458,1816,2064,2087,1162,1883,1909,13847,2329,693,9693,2403,2775,5148,3812,5468,3828,604,229,25438,12202,8064,3979,3819,253,2230,318,0,176,14408,6342,7974,17632,51072,16251,27745,2748,11691,1113.5,,,118.0,,,,,,4.0
11692,ZCTA5 11692,23247,1591,1875,2316,1440,1240,1290,1156,1755,1701,1349,1264,1341,1824,1045,786,430,594,250,36.8,90.5,49507,936,546,337,442,530,363,268,156,461,388,416,628,629,428,550,903,6112,349,237,4048,575,940,1776,1411,2411,1167,212,134,8657,3971,3505,1428,2000,56,413,18,0,80,5210,2759,2771,5602,17645,2914,12277,1301,11692,,,,27.0,,,,,,2.0
11693,ZCTA5 11693,13066,733,751,816,840,583,827,563,787,640,715,730,1232,1138,739,887,431,304,350,44.9,72.5,67829,461,220,189,228,253,266,164,272,141,303,300,629,515,376,536,552,2347,310,89,2168,419,510,819,596,2048,936,129,227,4800,2511,1426,630,771,0,117,57,0,65,3487,1602,1918,2863,10203,5776,3155,603,11693,,,,49.0,,,,,,2.0
11694,ZCTA5 11694,21430,1314,1595,1416,1058,596,828,1117,1772,1348,1204,1619,1578,1542,1295,1218,938,458,534,44.1,92.8,103792,355,304,216,167,198,202,224,297,134,434,534,774,1049,440,1246,1472,2433,277,103,3230,652,579,1994,805,3479,2481,464,261,8928,5137,2488,775,1348,0,539,66,0,45,4929,1337,3117,3559,17871,15453,1660,365,11694,,,,84.0,,,,,,3.0
11697,ZCTA5 11697,4123,188,248,166,197,246,343,121,215,118,227,197,610,282,209,314,192,159,91,49.8,88.3,134844,78,27,9,45,28,37,50,16,23,26,160,137,152,126,239,515,206,0,33,348,11,156,459,333,827,628,99,45,1767,1324,282,40,235,0,18,11,0,0,1055,167,613,40,4083,4011,0,27,11697,,,,16.0,,,,,,
